N° PALLET,CODIGO ,Categoria,CANTIDAD,FECHA INGRESO,ORIGEN,CHOFER,VIAJE N°,ESTADO,COMPROBANTE,Costo unitario Reposicion sin IVA,Costo Total Reposicion sin IVA,PVP Unitario,PVP Total,M3,M3 X SKU
1,SKU00001,Cámaras de Seguridad,108,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$87,321.12","$9,430,681.29","$299,999.00","$32,399,892.00",0.0154,1.6632
2,SKU00001,Cámaras de Seguridad,108,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$87,321.12","$9,430,681.29","$299,999.00","$32,399,892.00",0.0154,1.6632
3,SKU00002,"Gazebos, Pérgolas y Sombrillas",20,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$146,902.29","$2,938,045.76","$276,149.00","$5,522,980.00",0.0853125,1.70625
4,SKU00002,"Gazebos, Pérgolas y Sombrillas",20,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$146,902.29","$2,938,045.76","$276,149.00","$5,522,980.00",0.0853125,1.70625
5,SKU00002,"Gazebos, Pérgolas y Sombrillas",20,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$146,902.29","$2,938,045.76","$276,149.00","$5,522,980.00",0.0853125,1.70625
6,SKU00003,Sets de Herramientas,300,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$1,783.30","$534,990.91","$8,249.00","$2,474,700.00",0.001056,0.3168
7,SKU00004,Handies y Radiofrecuencia,600,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$6,015.06","$3,609,033.41","$17,999.00","$10,799,400.00",0.0024255,1.4553
8,SKU00005,Ionizadores,80,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$32,236.75","$2,578,939.99","$69,999.00","$5,599,920.00",0.013299,1.06392
9,SKU00005,Ionizadores,80,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$32,236.75","$2,578,939.99","$69,999.00","$5,599,920.00",0.013299,1.06392
10,SKU00005,Ionizadores,80,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$32,236.75","$2,578,939.99","$69,999.00","$5,599,920.00",0.013299,1.06392
11,SKU00005,Ionizadores,80,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$32,236.75","$2,578,939.99","$69,999.00","$5,599,920.00",0.013299,1.06392
12,SKU00005,Ionizadores,80,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$32,236.75","$2,578,939.99","$69,999.00","$5,599,920.00",0.013299,1.06392
13,SKU00005,Ionizadores,80,2/01/2024,ENVIO PACK,FONZI SEBASTIAN,148,RETIRADO,6261221,"$32,236.75","$2,578,939.99","$69,999.00","$5,599,920.00",0.013299,1.06392
